Ano,Mês,Valor,Estado
2022,Março,,Acre
2022,Abril,6.0,Acre
2022,Maio,33.0,Acre
2022,Junho,71.0,Acre
2022,Julho,313.0,Acre
2022,Agosto,2638.0,Acre
2022,Setembro,6693.0,Acre
2022,Outubro,1127.0,Acre
2022,Novembro,923.0,Acre
2022,Dezembro,9.0,Acre
2023,Janeiro,8.0,Acre
2023,Fevereiro,1.0,Acre
2023,Março,,Acre
2023,Abril,,Acre
2023,Maio,8.0,Acre
2023,Junho,31.0,Acre
2023,Julho,212.0,Acre
2023,Agosto,1388.0,Acre
2023,Setembro,3075.0,Acre
2023,Outubro,1675.0,Acre
2023,Novembro,160.0,Acre
2023,Dezembro,4.0,Acre
2024,Janeiro,8.0,Acre
2024,Fevereiro,7.0,Acre
2024,Março,7.0,Acre
2024,Abril,3.0,Acre
2024,Maio,11.0,Acre
2024,Junho,101.0,Acre
2024,Julho,603.0,Acre
2024,Agosto,1997.0,Acre
2024,Setembro,3855.0,Acre
2024,Outubro,1876.0,Acre
2024,Novembro,160.0,Acre
2024,Dezembro,30.0,Acre
2025,Janeiro,35.0,Acre
2025,Fevereiro,5.0,Acre
2025,Março,,Acre
2025,Abril,3.0,Acre
2025,Maio,5.0,Acre
2025,Junho,,Acre
2025,Julho,,Acre
2025,Agosto,,Acre
2025,Setembro,,Acre
2025,Outubro,,Acre
2025,Novembro,,Acre
2025,Dezembro,,Acre
1998,Janeiro,,Alagoas
1998,Fevereiro,,Alagoas
1998,Março,,Alagoas
1998,Abril,,Alagoas
1998,Maio,,Alagoas
1998,Junho,,Alagoas
1998,Julho,,Alagoas
1998,Agosto,1.0,Alagoas
1998,Setembro,14.0,Alagoas
1998,Outubro,20.0,Alagoas
1998,Novembro,19.0,Alagoas
1998,Dezembro,32.0,Alagoas
1999,Janeiro,58.0,Alagoas
1999,Fevereiro,19.0,Alagoas
1999,Março,52.0,Alagoas
1999,Abril,4.0,Alagoas
1999,Maio,1.0,Alagoas
1999,Junho,,Alagoas
1999,Julho,,Alagoas
1999,Agosto,3.0,Alagoas
1999,Setembro,3.0,Alagoas
1999,Outubro,4.0,Alagoas
1999,Novembro,15.0,Alagoas
1999,Dezembro,12.0,Alagoas
2000,Janeiro,11.0,Alagoas
2000,Fevereiro,16.0,Alagoas
2000,Março,32.0,Alagoas
2000,Abril,20.0,Alagoas
2000,Maio,1.0,Alagoas
2000,Junho,,Alagoas
2000,Julho,,Alagoas
2000,Agosto,4.0,Alagoas
2000,Setembro,22.0,Alagoas
2000,Outubro,13.0,Alagoas
2000,Novembro,2.0,Alagoas
2000,Dezembro,2.0,Alagoas
2001,Janeiro,5.0,Alagoas
2001,Fevereiro,4.0,Alagoas
2001,Março,,Alagoas
2001,Abril,,Alagoas
2001,Maio,2.0,Alagoas
2001,Junho,2.0,Alagoas
2001,Julho,,Alagoas
2001,Agosto,1.0,Alagoas
2001,Setembro,5.0,Alagoas
2001,Outubro,15.0,Alagoas
2001,Novembro,22.0,Alagoas
2001,Dezembro,30.0,Alagoas
2002,Janeiro,12.0,Alagoas
2002,Fevereiro,15.0,Alagoas
2002,Março,27.0,Alagoas
2002,Abril,6.0,Alagoas
2002,Maio,1.0,Alagoas
2002,Junho,,Alagoas
2002,Julho,7.0,Alagoas
2002,Agosto,5.0,Alagoas
2002,Setembro,23.0,Alagoas
2002,Outubro,35.0,Alagoas
2002,Novembro,58.0,Alagoas
2002,Dezembro,102.0,Alagoas
2003,Janeiro,147.0,Alagoas
2003,Fevereiro,52.0,Alagoas
2003,Março,32.0,Alagoas
2003,Abril,22.0,Alagoas
2003,Maio,7.0,Alagoas
2003,Junho,5.0,Alagoas
2003,Julho,4.0,Alagoas
2003,Agosto,7.0,Alagoas
2003,Setembro,8.0,Alagoas
2003,Outubro,18.0,Alagoas
2003,Novembro,20.0,Alagoas
2003,Dezembro,51.0,Alagoas
2004,Janeiro,13.0,Alagoas
2004,Fevereiro,15.0,Alagoas
2004,Março,34.0,Alagoas
2004,Abril,10.0,Alagoas
2004,Maio,3.0,Alagoas
2004,Junho,1.0,Alagoas
2004,Julho,3.0,Alagoas
2004,Agosto,2.0,Alagoas
2004,Setembro,11.0,Alagoas
2004,Outubro,23.0,Alagoas
2004,Novembro,38.0,Alagoas
2004,Dezembro,80.0,Alagoas
2005,Janeiro,91.0,Alagoas
2005,Fevereiro,47.0,Alagoas
2005,Março,45.0,Alagoas
2005,Abril,3.0,Alagoas
2005,Maio,,Alagoas
2005,Junho,3.0,Alagoas
2005,Julho,2.0,Alagoas
2005,Agosto,9.0,Alagoas
2005,Setembro,14.0,Alagoas
2005,Outubro,20.0,Alagoas
2005,Novembro,32.0,Alagoas
2005,Dezembro,26.0,Alagoas
2006,Janeiro,36.0,Alagoas
2006,Fevereiro,32.0,Alagoas
2006,Março,46.0,Alagoas
2006,Abril,7.0,Alagoas
2006,Maio,2.0,Alagoas
2006,Junho,,Alagoas
2006,Julho,3.0,Alagoas
2006,Agosto,5.0,Alagoas
2006,Setembro,13.0,Alagoas
2006,Outubro,39.0,Alagoas
2006,Novembro,25.0,Alagoas
2006,Dezembro,60.0,Alagoas
2007,Janeiro,33.0,Alagoas
2007,Fevereiro,33.0,Alagoas
2007,Março,12.0,Alagoas
2007,Abril,16.0,Alagoas
2007,Maio,2.0,Alagoas
2007,Junho,1.0,Alagoas
2007,Julho,6.0,Alagoas
2007,Agosto,3.0,Alagoas
2007,Setembro,12.0,Alagoas
2007,Outubro,25.0,Alagoas
2007,Novembro,44.0,Alagoas
2007,Dezembro,75.0,Alagoas
